global_id,name,type,tag,spatial_info.project_name,spatial_info.site_name,spatial_info.building_name,spatial_info.storey_name,spatial_info.storey_elevation,"material_info.Concrete, Cast-in-Place gray.type",profile_info.type,profile_info.name
1YMpECnoXAAgd3TsblgkRb,M_Concrete-Rectangular Beam:250 x 500mm:416913,IfcBeam,416913,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
1YMpECnoXAAgd3TsblgkRl,M_Concrete-Rectangular Beam:250 x 500mm:416923,IfcBeam,416923,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMFt,M_Concrete-Rectangular Beam:250 x 500mm:418561,IfcBeam,418561,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMFR,M_Concrete-Rectangular Beam:250 x 500mm:418605,IfcBeam,418605,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMEd,M_Concrete-Rectangular Beam:250 x 500mm:418641,IfcBeam,418641,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMHi,M_Concrete-Rectangular Beam:250 x 500mm:418970,IfcBeam,418970,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMH9,M_Concrete-Rectangular Beam:250 x 500mm:419007,IfcBeam,419007,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMNR,M_Concrete-Rectangular Beam:250 x 500mm:419117,IfcBeam,419117,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMNP,M_Concrete-Rectangular Beam:250 x 500mm:419119,IfcBeam,419119,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMNE,M_Concrete-Rectangular Beam:250 x 500mm:419128,IfcBeam,419128,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMMs,M_Concrete-Rectangular Beam:250 x 500mm:419136,IfcBeam,419136,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMMq,M_Concrete-Rectangular Beam:250 x 500mm:419138,IfcBeam,419138,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMMR,M_Concrete-Rectangular Beam:250 x 500mm:419181,IfcBeam,419181,Project Number,Default,,Level 1,2800.0,material,,
2e3KIcTBT93wdBtSLDrMMP,M_Concrete-Rectangular Beam:250 x 500mm:419183,IfcBeam,419183,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMM0,M_Concrete-Rectangular Beam:250 x 500mm:419190,IfcBeam,419190,Project Number,Default,,Level 1,2800.0,material,ArbitraryClosed,250 x 500mm
2e3KIcTBT93wdBtSLDrMM8,M_Concrete-Rectangular Beam:250 x 500mm:419198,IfcBeam,419198,Project Number,Default,,Level 1,2800.0,material,,
2e3KIcTBT93wdBtSLDrMLs,M_Concrete-Rectangular Beam:250 x 500mm:419200,IfcBeam,419200,Project Number,Default,,Level 1,2800.0,material,,
0Bl0khqE5CRu4G24Ko5Z4Q,M_Concrete-Rectangular Beam:200x200:419918,IfcBeam,419918,Project Number,Default,,Level 0,,material,ArbitraryClosed,200x200
0Bl0khqE5CRu4G24Ko5Z44,M_Concrete-Rectangular Beam:200x200:419920,IfcBeam,419920,Project Number,Default,,Level 0,,material,ArbitraryClosed,200x200
0Bl0khqE5CRu4G24Ko5Z43,M_Concrete-Rectangular Beam:200x200:419927,IfcBeam,419927,Project Number,Default,,Level 0,,material,ArbitraryClosed,200x200
0Bl0khqE5CRu4G24Ko5Z4D,M_Concrete-Rectangular Beam:200x200:419929,IfcBeam,419929,Project Number,Default,,Level 0,,material,ArbitraryClosed,200x200
